pat	stressed	67	antis	c19	c18	cGA	cAGA	p19	p18	pGA	pAGA	cALL	pALL
4 5 9	3	0	1	6	0	1	0	0.02	0	0.01	0	7	0.01
3 6 7	3	1	1	4	0	0	0	0.01	0	0	0	4	0.01
3 6 8	3	0	0	24	0	1	0	0.07	0	0.01	0	25	0.05
3 6 9	3	0	0	49	2	0	0	0.14	0.04	0	0	51	0.1
4 5 6	3	0	2	0	0	1	1	0	0	0.01	0.0	1	0.0
4 5 7	3	0	1	1	0	0	0	0.0	0	0	0	1	0.0
2 3 5 7 9 10	6	0	2	0	1	2	1	0	0.02	0.02	0.0	3	0.01
1 2 3 6 9 10	6	0	3	11	0	2	20	0.03	0	0.02	0.03	13	0.03
2 7 8	3	0	1	0	1	0	0	0	0.02	0	0	1	0.0
2 7 9	3	0	0	6	1	0	1	0.02	0.02	0	0.0	7	0.01
1 4 6 8 10	5	0	0	294	55	190	1599	0.85	1.23	1.79	2.25	539	1.09
3 4 8 9 10	5	0	3	12	3	1	14	0.03	0.07	0.01	0.02	16	0.03
1 3 4 5 10	5	0	2	5	0	1	0	0.01	0	0.01	0	6	0.01
1 3 6 10	4	0	0	1301	167	266	1954	3.77	3.74	2.51	2.75	1734	3.5
1 3 6 8 9 10	6	0	2	26	1	5	38	0.08	0.02	0.05	0.05	32	0.06
1 2 3 8 10	5	0	2	4	1	2	0	0.01	0.02	0.02	0	7	0.01
7 9 10	3	0	1	0	0	1	0	0	0	0.01	0	1	0.0
1 3 7 10	4	0	0	44	3	17	22	0.13	0.07	0.16	0.03	64	0.13
1 5 8 9 10	5	0	2	1	0	0	0	0.0	0	0	0	1	0.0
2 3 5 6 7 9 10	7	1	4	2	0	1	1	0.01	0	0.01	0.0	3	0.01
3 10	2	0	0	18	11	9	11	0.05	0.25	0.08	0.02	38	0.08
3 5 8 10	4	0	0	34	6	10	22	0.1	0.13	0.09	0.03	50	0.1
2 3 6 7 9	5	1	2	5	0	0	0	0.01	0	0	0	5	0.01
2 4 5 9 10	5	0	2	2	1	2	0	0.01	0.02	0.02	0	5	0.01
1 2 3 4 5 10	6	0	4	1	0	0	0	0.0	0	0	0	1	0.0
1 3 4 6 7 9	6	1	2	0	0	1	0	0	0	0.01	0	1	0.0
3 4 6 8 9	5	0	2	2	0	0	0	0.01	0	0	0	2	0.0
2 6 8 9	4	0	1	6	0	1	0	0.02	0	0.01	0	7	0.01
1 2 6 8 9 10	6	0	3	13	1	4	18	0.04	0.02	0.04	0.03	18	0.04
2 3 6 7	4	1	2	1	0	0	0	0.0	0	0	0	1	0.0
2 3 6 8	4	0	1	7	0	0	1	0.02	0	0	0.0	7	0.01
2 3 6 9	4	0	1	13	0	0	1	0.04	0	0	0.0	13	0.03
2 3 7 8 10	5	0	2	4	1	1	1	0.01	0.02	0.01	0.0	6	0.01
1 2 3 4 5 6 8 9	8	0	6	1	0	0	0	0.0	0	0	0	1	0.0
1 2 4 5 7 8 10	7	0	3	1	0	0	1	0.0	0	0	0.0	1	0.0
3 4 5 6 8 10	6	0	3	7	2	8	14	0.02	0.04	0.08	0.02	17	0.03
3 4 5 6 7 9 10	7	1	5	0	0	1	0	0	0	0.01	0	1	0.0
2 3 4 5 10	5	0	3	0	1	1	0	0	0.02	0.01	0	2	0.0
4 5 6 7 9 10	6	1	4	1	0	1	0	0.0	0	0.01	0	2	0.0
2 3 8 10	4	0	1	27	2	4	17	0.08	0.04	0.04	0.02	33	0.07
2 4 6 8 10	5	0	0	484	124	383	3043	1.4	2.77	3.61	4.28	991	2.0
1 3 4 5 7 10	6	0	2	7	0	1	0	0.02	0	0.01	0	8	0.02
1 2 4 6 7 9	6	1	2	2	0	0	0	0.01	0	0	0	2	0.0
1 3 4 8 9 10	6	0	3	13	1	0	5	0.04	0.02	0	0.01	14	0.03
2 3 4 6 7 8 9	7	1	5	0	1	0	0	0	0.02	0	0	1	0.0
2 4 6 9 10	5	0	1	71	19	43	320	0.21	0.43	0.41	0.45	133	0.27
3 4 5 7 8	5	0	3	1	0	0	0	0.0	0	0	0	1	0.0
3 4 5 7 9	5	0	2	3	0	0	0	0.01	0	0	0	3	0.01
2 4 7 8 9 10	6	0	3	4	2	1	1	0.01	0.04	0.01	0.0	7	0.01
3 7 8 9 10	5	0	3	0	0	1	0	0	0	0.01	0	1	0.0
3 7 8 10	4	0	1	9	0	0	3	0.03	0	0	0.0	9	0.02
2 3 4 5 9 10	6	0	4	1	0	1	0	0.0	0	0.01	0	2	0.0
1 3 6 7 8 9 10	7	1	4	1	1	1	0	0.0	0.02	0.01	0	3	0.01
3 4 5 6 7 8 10	7	1	5	0	0	0	1	0	0	0	0.0	0	0.0
2 3 4 10	4	0	2	4	2	3	11	0.01	0.04	0.03	0.02	9	0.02
1 3 4 5 6 10	6	0	3	8	1	3	7	0.02	0.02	0.03	0.01	12	0.02
1 2 3 4 5 6 8 9 10	9	0	7	1	0	0	0	0.0	0	0	0	1	0.0
5 10	2	0	0	3	1	6	4	0.01	0.02	0.06	0.01	10	0.02
3 4 6 7 10	5	1	2	49	8	12	84	0.14	0.18	0.11	0.12	69	0.14
1 2 3 9 10	5	0	3	0	0	1	0	0	0	0.01	0	1	0.0
1 4 6 7 8 10	6	1	2	15	3	7	90	0.04	0.07	0.07	0.13	25	0.05
1 2 5 6 7 8 10	7	1	4	1	0	2	3	0.0	0	0.02	0.0	3	0.01
1 2 6 7 10	5	1	2	79	18	19	131	0.23	0.4	0.18	0.18	116	0.23
1 2 4 5 6 8 9 10	8	0	5	1	0	0	1	0.0	0	0	0.0	1	0.0
3 6 8 10	4	0	0	1112	180	392	2595	3.22	4.03	3.7	3.65	1684	3.4
2 5 7 8 10	5	0	1	7	1	1	0	0.02	0.02	0.01	0	9	0.02
1 4 7	3	0	0	4	0	0	0	0.01	0	0	0	4	0.01
2 3 4 8 9 10	6	0	4	23	4	10	22	0.07	0.09	0.09	0.03	37	0.07
1 2 3 4 6 7 8 9 10	9	1	7	0	0	0	2	0	0	0	0.0	0	0.0
1 4 6 7 9 10	6	1	2	5	3	3	17	0.01	0.07	0.03	0.02	11	0.02
1 2 3 5 9 10	6	0	3	0	0	2	0	0	0	0.02	0	2	0.0
1 5 6 8 9 10	6	0	3	2	0	1	0	0.01	0	0.01	0	3	0.01
2 5 6 7 10	5	1	2	14	2	7	33	0.04	0.04	0.07	0.05	23	0.05
1 3 6 7 9	5	1	1	10	0	0	0	0.03	0	0	0	10	0.02
1 2 5 8 10	5	0	1	11	1	1	4	0.03	0.02	0.01	0.01	13	0.03
1 2 5 9 10	5	0	2	1	0	0	0	0.0	0	0	0	1	0.0
1 5 7 9	4	0	0	1	0	0	0	0.0	0	0	0	1	0.0
1 3 4 5 6 8 9 10	8	0	5	1	0	0	0	0.0	0	0	0	1	0.0
3	1	0	0	0	0	2	0	0	0	0.02	0	2	0.0
4 6 7 9	4	1	1	9	1	0	0	0.03	0.02	0	0	10	0.02
2 4 5 8 10	5	0	1	59	16	24	127	0.17	0.36	0.23	0.18	99	0.2
2 5 9 10	4	0	1	6	1	3	2	0.02	0.02	0.03	0.0	10	0.02
1 8 9	3	0	1	1	0	0	0	0.0	0	0	0	1	0.0
2 3 4 7 8 9 10	7	0	5	0	1	0	0	0	0.02	0	0	1	0.0
2 5 6 7 8 10	6	1	3	3	0	1	13	0.01	0	0.01	0.02	4	0.01
6 8 9 10	4	0	2	10	1	4	19	0.03	0.02	0.04	0.03	15	0.03
1 3 6 7 8 10	6	1	2	49	7	6	62	0.14	0.16	0.06	0.09	62	0.13
1 5 7 8 10	5	0	1	1	0	0	1	0.0	0	0	0.0	1	0.0
2 5 6 7 9 10	6	1	3	0	1	1	3	0	0.02	0.01	0.0	2	0.0
1 2 4 8	4	0	1	1	0	0	0	0.0	0	0	0	1	0.0
1 2 4 9	4	0	1	0	1	0	0	0	0.02	0	0	1	0.0
3 4 6 7 8 9	6	1	4	1	0	0	0	0.0	0	0	0	1	0.0
3 5 6 7 8	5	1	3	1	0	0	0	0.0	0	0	0	1	0.0
1 4 5 6 7 10	6	1	3	6	0	0	15	0.02	0	0	0.02	6	0.01
1 2 4 5	4	0	2	1	0	0	0	0.0	0	0	0	1	0.0
3 4 6 7 9	5	1	2	1	0	0	0	0.0	0	0	0	1	0.0
3 4 6 7 8	5	1	3	1	0	0	0	0.0	0	0	0	1	0.0
2 3 7 9 10	5	0	2	5	0	1	1	0.01	0	0.01	0.0	6	0.01
2 5 8 10	4	0	0	39	5	10	46	0.11	0.11	0.09	0.06	54	0.11
1 3 5 6 8 9	6	0	2	2	0	0	0	0.01	0	0	0	2	0.0
1 2 4 6 8 9 10	7	0	3	7	2	7	16	0.02	0.04	0.07	0.02	16	0.03
1 2 5 8 9 10	6	0	3	1	0	0	0	0.0	0	0	0	1	0.0
2 3 6 9 10	5	0	2	39	10	12	79	0.11	0.22	0.11	0.11	61	0.12
2 3 6 8 10	5	0	1	230	51	124	660	0.67	1.14	1.17	0.93	405	0.82
1 2 3 5 8	5	0	2	3	0	0	0	0.01	0	0	0	3	0.01
3 7 9 10	4	0	1	5	1	1	3	0.01	0.02	0.01	0.0	7	0.01
1 4 6 7 8 9 10	7	1	4	1	0	1	2	0.0	0	0.01	0.0	2	0.0
2 4 5 7 8 9	6	0	3	1	0	0	0	0.0	0	0	0	1	0.0
1 3 4 6 8 9 10	7	0	3	9	4	5	11	0.03	0.09	0.05	0.02	18	0.04
3 6 9 10	4	0	1	126	16	51	326	0.37	0.36	0.48	0.46	193	0.39
1 2 3 4 6 10	6	0	3	21	3	11	33	0.06	0.07	0.1	0.05	35	0.07
1 2 3 5 6 7 8 10	8	1	5	0	0	0	1	0	0	0	0.0	0	0.0
1 3 5 6 7 10	6	1	2	15	2	2	13	0.04	0.04	0.02	0.02	19	0.04
1 3 4 10	4	0	1	4	0	0	15	0.01	0	0	0.02	4	0.01
1 2 3 4 7 8 9 10	8	0	6	0	0	0	1	0	0	0	0.0	0	0.0
3 4 5 6 7 8	6	1	5	1	0	0	0	0.0	0	0	0	1	0.0
3 4 5 6 7 9	6	1	4	2	0	0	0	0.01	0	0	0	2	0.0
2 3 4 5 6 8 9 10	8	0	6	1	0	0	0	0.0	0	0	0	1	0.0
1 7 10	3	0	0	6	1	3	3	0.02	0.02	0.03	0.0	10	0.02
3 5 6 10	4	0	1	226	30	73	291	0.66	0.67	0.69	0.41	329	0.66
1 3 6 8 9	5	0	1	8	0	0	0	0.02	0	0	0	8	0.02
2 3 5 6 8 10	6	0	2	18	0	2	41	0.05	0	0.02	0.06	20	0.04
1 3 9	3	0	0	1	0	0	0	0.0	0	0	0	1	0.0
2 3 5 7 8 9	6	0	3	0	1	0	0	0	0.02	0	0	1	0.0
1 3 5 6 8	5	0	1	1	0	0	0	0.0	0	0	0	1	0.0
1 3 5 6 9	5	0	1	2	0	0	0	0.01	0	0	0	2	0.0
1 2 4 6 10	5	0	1	271	54	95	695	0.79	1.21	0.9	0.98	420	0.85
2 3 5 6 10	5	0	2	32	8	21	58	0.09	0.18	0.2	0.08	61	0.12
1 4 7 9 10	5	0	1	5	0	1	2	0.01	0	0.01	0.0	6	0.01
1 4	2	0	0	1	0	0	0	0.0	0	0	0	1	0.0
1 5	2	0	0	1	0	0	0	0.0	0	0	0	1	0.0
2 5 7 9 10	5	0	1	3	0	0	0	0.01	0	0	0	3	0.01
4 7 8 9 10	5	0	3	2	1	0	2	0.01	0.02	0	0.0	3	0.01
1 2 3 4 6 7	6	1	4	1	0	0	0	0.0	0	0	0	1	0.0
1 2 3 6 7 8	6	1	4	1	0	0	0	0.0	0	0	0	1	0.0
1 2 3 6 7 9	6	1	3	1	0	0	0	0.0	0	0	0	1	0.0
3 6 7 9	4	1	1	13	0	0	0	0.04	0	0	0	13	0.03
3 6 7 8	4	1	2	1	0	0	0	0.0	0	0	0	1	0.0
1 2 3 6	4	0	2	0	0	0	1	0	0	0	0.0	0	0.0
4 5 6 8 9 10	6	0	4	7	0	2	5	0.02	0	0.02	0.01	9	0.02
7 8 10	3	0	1	2	0	1	0	0.01	0	0.01	0	3	0.01
3 4 7 10	4	0	1	11	2	3	7	0.03	0.04	0.03	0.01	16	0.03
4 6 7 10	4	1	1	134	21	63	422	0.39	0.47	0.59	0.59	218	0.44
2 3 4 7 9	5	0	2	1	0	0	0	0.0	0	0	0	1	0.0
1 2 3 9	4	0	2	1	0	0	0	0.0	0	0	0	1	0.0
1 2 5 7 9 10	6	0	2	1	0	1	0	0.0	0	0.01	0	2	0.0
1 3 5 8 9 10	6	0	2	2	0	0	0	0.01	0	0	0	2	0.0
2 3 5 6 9 10	6	0	3	7	0	3	8	0.02	0	0.03	0.01	10	0.02
2 3 4 7 8	5	0	3	1	0	0	0	0.0	0	0	0	1	0.0
1 2 6 7 8 10	6	1	3	15	4	8	42	0.04	0.09	0.08	0.06	27	0.05
1 6 8 9 10	5	0	2	5	2	2	18	0.01	0.04	0.02	0.03	9	0.02
3 5 8 9	4	0	1	4	0	0	0	0.01	0	0	0	4	0.01
1 2 6 8 9	5	0	2	1	0	0	0	0.0	0	0	0	1	0.0
2 4 5 8 9 10	6	0	3	8	0	0	2	0.02	0	0	0.0	8	0.02
1 3 4 6 7 9 10	7	1	3	5	2	0	3	0.01	0.04	0	0.0	7	0.01
4 10	2	0	0	35	4	20	99	0.1	0.09	0.19	0.14	59	0.12
1 3 4 6 7 8 10	7	1	3	8	1	5	13	0.02	0.02	0.05	0.02	14	0.03
1 2 6 7 9 10	6	1	3	7	1	0	13	0.02	0.02	0	0.02	8	0.02
2 3 5 7 9	5	0	1	4	2	0	0	0.01	0.04	0	0	6	0.01
2 3 4 6 10	5	0	2	92	16	44	214	0.27	0.36	0.42	0.3	152	0.31
2 3 4 5 6 7 10	7	1	5	0	0	0	1	0	0	0	0.0	0	0.0
4 5 6 8	4	0	2	3	0	0	0	0.01	0	0	0	3	0.01
4 5 6 9	4	0	2	1	0	0	0	0.0	0	0	0	1	0.0
3 4 5 6 8 9 10	7	0	5	1	0	0	0	0.0	0	0	0	1	0.0
2 3 7	3	0	1	3	0	0	0	0.01	0	0	0	3	0.01
1 2 3 6 8 9	6	0	3	4	0	0	0	0.01	0	0	0	4	0.01
1 2 4 5 6 7 8 9 10	9	1	7	0	1	0	0	0	0.02	0	0	1	0.0
1 2 3 6 7 10	6	1	3	27	3	7	20	0.08	0.07	0.07	0.03	37	0.07
6 8 9	3	0	1	0	0	2	0	0	0	0.02	0	2	0.0
3 6 7 8 9	5	1	3	2	0	0	0	0.01	0	0	0	2	0.0
1 3 5 7 8 9 10	7	0	3	2	0	0	0	0.01	0	0	0	2	0.0
3 6 7 8 10	5	1	2	110	21	26	158	0.32	0.47	0.25	0.22	157	0.32
2 3 4 6 7 8 9 10	8	1	6	1	0	0	2	0.0	0	0	0.0	1	0.0
2 6 8 10	4	0	0	935	131	447	3172	2.71	2.93	4.22	4.46	1513	3.05
1 2 4 6 8	5	0	1	4	1	0	0	0.01	0.02	0	0	5	0.01
1 2 4 6 9	5	0	1	6	0	0	0	0.02	0	0	0	6	0.01
1 2 3 4 7 10	6	0	3	1	0	0	0	0.0	0	0	0	1	0.0
3 4 7 8 9 10	6	0	4	1	0	0	0	0.0	0	0	0	1	0.0
9	1	0	0	1	0	1	0	0.0	0	0.01	0	2	0.0
3 6 7 9 10	5	1	2	34	4	7	35	0.1	0.09	0.07	0.05	45	0.09
5 6 8	3	0	1	4	0	0	0	0.01	0	0	0	4	0.01
1 2 4 6 7	5	1	2	1	0	0	0	0.0	0	0	0	1	0.0
2 5 6 9 10	5	0	2	19	1	8	32	0.06	0.02	0.08	0.05	28	0.06
1 3 7 9	4	0	0	8	0	0	1	0.02	0	0	0.0	8	0.02
1 4 5 9 10	5	0	2	0	0	1	1	0	0	0.01	0.0	1	0.0
3 5 6 8 10	5	0	1	86	9	23	150	0.25	0.2	0.22	0.21	118	0.24
2 5 6 8 10	5	0	1	45	7	42	183	0.13	0.16	0.4	0.26	94	0.19
1 2 3 5 7 8	6	0	3	1	0	0	0	0.0	0	0	0	1	0.0
1 4 7 8 10	5	0	1	23	4	12	55	0.07	0.09	0.11	0.08	39	0.08
1 2 8 10	4	0	1	6	2	4	5	0.02	0.04	0.04	0.01	12	0.02
1 4 7 8 9 10	6	0	3	3	0	0	2	0.01	0	0	0.0	3	0.01
2 5 7 10	4	0	0	47	7	12	18	0.14	0.16	0.11	0.03	66	0.13
1 2 4 5 6 7 8 10	8	1	5	0	0	0	1	0	0	0	0.0	0	0.0
1 6 7 8 10	5	1	2	24	4	7	45	0.07	0.09	0.07	0.06	35	0.07
1 2 3 7 9 10	6	0	3	1	0	0	0	0.0	0	0	0	1	0.0
5 7 9 10	4	0	1	0	0	1	0	0	0	0.01	0	1	0.0
3 4 6 10	4	0	1	323	48	92	496	0.94	1.07	0.87	0.7	463	0.93
1 2 5 7 8 10	6	0	2	2	0	0	2	0.01	0	0	0.0	2	0.0
2 3 7 10	4	0	1	26	2	8	5	0.08	0.04	0.08	0.01	36	0.07
4 5 6 9 10	5	0	3	3	2	4	11	0.01	0.04	0.04	0.02	9	0.02
4 5 6 8 10	5	0	2	47	15	26	91	0.14	0.34	0.25	0.13	88	0.18
3 4 6 9 10	5	0	2	20	5	5	34	0.06	0.11	0.05	0.05	30	0.06
2 3 6 10	4	0	1	555	71	154	1118	1.61	1.59	1.45	1.57	780	1.57
1 2 3 4 6 9	6	0	3	1	1	0	0	0.0	0.02	0	0	2	0.0
1 2 5 7 8 9 10	7	0	4	1	0	0	0	0.0	0	0	0	1	0.0
3 4 5 6 7 8 9	7	1	6	1	0	0	0	0.0	0	0	0	1	0.0
4 7	2	0	0	2	0	1	0	0.01	0	0.01	0	3	0.01
4 6	2	0	0	2	0	1	1	0.01	0	0.01	0.0	3	0.01
2 8 10	3	0	0	54	3	17	51	0.16	0.07	0.16	0.07	74	0.15
5 7 10	3	0	0	9	0	9	16	0.03	0	0.08	0.02	18	0.04
4 9	2	0	0	4	0	1	0	0.01	0	0.01	0	5	0.01
4 8	2	0	0	4	1	0	0	0.01	0.02	0	0	5	0.01
1 2 3 4 7 8 10	7	0	4	1	0	0	1	0.0	0	0	0.0	1	0.0
3 8 10	3	0	0	39	2	5	28	0.11	0.04	0.05	0.04	46	0.09
4 6 9	3	0	0	23	1	1	0	0.07	0.02	0.01	0	25	0.05
1 2 3 7 8 10	6	0	3	1	0	0	0	0.0	0	0	0	1	0.0
6 7 8 9 10	5	1	4	2	0	0	1	0.01	0	0	0.0	2	0.0
1 2 4 5 8 9 10	7	0	4	1	0	0	0	0.0	0	0	0	1	0.0
1 4 6 8	4	0	0	4	0	0	0	0.01	0	0	0	4	0.01
3 4 6 8 10	5	0	1	137	20	53	278	0.4	0.45	0.5	0.39	210	0.42
2 4 5 7 8 10	6	0	2	8	0	0	0	0.02	0	0	0	8	0.02
4 5 7 10	4	0	1	10	0	1	2	0.03	0	0.01	0.0	11	0.02
1 2 4 5 6 7 10	7	1	4	0	0	0	5	0	0	0	0.01	0	0.0
1 3 5 7 9 10	6	0	1	1	1	1	0	0.0	0.02	0.01	0	3	0.01
4 5 6 10	4	0	2	124	12	28	171	0.36	0.27	0.26	0.24	164	0.33
6 7 9 10	4	1	2	3	0	1	9	0.01	0	0.01	0.01	4	0.01
1 4 8 9 10	5	0	2	97	10	24	77	0.28	0.22	0.23	0.11	131	0.26
2 4 5 6 7 8 9 10	8	1	6	0	0	1	0	0	0	0.01	0	1	0.0
3 9 10	3	0	1	0	0	0	1	0	0	0	0.0	0	0.0
5 7 8 10	4	0	1	6	1	0	0	0.02	0.02	0	0	7	0.01
1 4 6 9 10	5	0	1	40	9	27	172	0.12	0.2	0.25	0.24	76	0.15
4	1	0	0	1	0	1	0	0.0	0	0.01	0	2	0.0
1 2 5 6 10	5	0	2	22	2	14	58	0.06	0.04	0.13	0.08	38	0.08
3 5 7 8	4	0	1	0	1	0	0	0	0.02	0	0	1	0.0
3 5 7 9	4	0	0	7	0	0	0	0.02	0	0	0	7	0.01
4 5 7 9 10	5	0	2	1	0	0	0	0.0	0	0	0	1	0.0
1 4 6 7	4	1	1	1	0	0	0	0.0	0	0	0	1	0.0
1 6 7 8 9 10	6	1	4	1	0	3	0	0.0	0	0.03	0	4	0.01
1 4 6	3	0	0	1	0	1	0	0.0	0	0.01	0	2	0.0
3 4 7 8 10	5	0	2	2	0	2	13	0.01	0	0.02	0.02	4	0.01
1 4 8	3	0	0	9	1	0	0	0.03	0.02	0	0	10	0.02
1 4 9	3	0	0	2	0	0	0	0.01	0	0	0	2	0.0
1 3 7 8	4	0	1	1	0	0	0	0.0	0	0	0	1	0.0
1 2 4 5 10	5	0	2	3	1	2	1	0.01	0.02	0.02	0.0	6	0.01
6 7 8 10	4	1	2	15	6	9	51	0.04	0.13	0.08	0.07	30	0.06
2 3 4 6 7 8 10	7	1	4	4	0	2	12	0.01	0	0.02	0.02	6	0.01
1 6	2	0	0	0	0	0	1	0	0	0	0.0	0	0.0
1 3 4 6 9	5	0	1	6	2	0	0	0.02	0.04	0	0	8	0.02
1 3 4 6 8	5	0	1	2	0	0	0	0.01	0	0	0	2	0.0
1 2 4 6 7 8 9 10	8	1	5	0	0	0	1	0	0	0	0.0	0	0.0
3 7 9	3	0	0	5	1	4	0	0.01	0.02	0.04	0	10	0.02
1 2 5 7 10	5	0	1	14	0	5	2	0.04	0	0.05	0.0	19	0.04
1 5 6 7 10	5	1	2	1	0	1	8	0.0	0	0.01	0.01	2	0.0
1 4 5 7 8 10	6	0	2	1	0	0	0	0.0	0	0	0	1	0.0
3 5 7 8 9 10	6	0	3	1	0	0	0	0.0	0	0	0	1	0.0
2 6 9	3	0	0	38	1	1	1	0.11	0.02	0.01	0.0	40	0.08
2 3 5 7	4	0	1	1	0	0	0	0.0	0	0	0	1	0.0
2 3 8	3	0	1	2	0	0	0	0.01	0	0	0	2	0.0
1 2 3 5 7 10	6	0	2	11	2	3	2	0.03	0.04	0.03	0.0	16	0.03
1 2 3 5 6 8 10	7	0	3	9	1	2	11	0.03	0.02	0.02	0.02	12	0.02
3 5 6 9 10	5	0	2	20	3	4	18	0.06	0.07	0.04	0.03	27	0.05
1 3 4 5 9	5	0	2	1	0	0	0	0.0	0	0	0	1	0.0
2 6 8	3	0	0	29	2	2	1	0.08	0.04	0.02	0.0	33	0.07
2 3 5 6 8 9 10	7	0	4	1	0	1	2	0.0	0	0.01	0.0	2	0.0
2 3 6 7 10	5	1	2	93	20	45	207	0.27	0.45	0.42	0.29	158	0.32
1 2 3 5 6 10	6	0	3	14	2	5	8	0.04	0.04	0.05	0.01	21	0.04
1 3 4 5 7	5	0	2	2	0	0	0	0.01	0	0	0	2	0.0
2 5 6 8	4	0	1	1	0	0	0	0.0	0	0	0	1	0.0
2 5 6 9	4	0	1	3	0	0	0	0.01	0	0	0	3	0.01
5 8 10	3	0	0	5	1	2	2	0.01	0.02	0.02	0.0	8	0.02
1 2 4 6 7 8 10	7	1	3	7	1	7	39	0.02	0.02	0.07	0.05	15	0.03
2 5 6 7 8 9 10	7	1	5	1	0	0	0	0.0	0	0	0	1	0.0
1 2 6 9 10	5	0	2	21	3	6	61	0.06	0.07	0.06	0.09	30	0.06
2 3 4 5 6 7 8 10	8	1	6	0	0	0	1	0	0	0	0.0	0	0.0
1 3 4 5 7 8 10	7	0	3	2	0	0	0	0.01	0	0	0	2	0.0
1 2 4 6 7 9 10	7	1	3	2	0	1	2	0.01	0	0.01	0.0	3	0.01
2 3 8 9 10	5	0	3	1	0	0	1	0.0	0	0	0.0	1	0.0
1 3 4 5 7 9 10	7	0	3	1	1	0	1	0.0	0.02	0	0.0	2	0.0
1 3 4 6 7 8 9	7	1	4	1	0	0	0	0.0	0	0	0	1	0.0
1 6 10	3	0	0	405	50	133	967	1.17	1.12	1.25	1.36	588	1.19
1 4 5 6 9	5	0	2	1	0	0	0	0.0	0	0	0	1	0.0
4 6 8 10	4	0	0	529	102	309	2094	1.53	2.28	2.92	2.95	940	1.9
2 4 6 8 9	5	0	1	5	0	0	0	0.01	0	0	0	5	0.01
1 3 5 10	4	0	0	53	3	13	14	0.15	0.07	0.12	0.02	69	0.14
2 3 7 9	4	0	1	3	0	0	0	0.01	0	0	0	3	0.01
1 3 4 5 6 9 10	7	0	4	2	0	0	1	0.01	0	0	0.0	2	0.0
2 3 4 5 7 9 10	7	0	4	1	0	0	0	0.0	0	0	0	1	0.0
1 4 5 6 8 9 10	7	0	4	1	0	2	2	0.0	0	0.02	0.0	3	0.01
3 5 7 10	4	0	0	29	3	13	18	0.08	0.07	0.12	0.03	45	0.09
2 3 6 8 9	5	0	2	5	0	0	0	0.01	0	0	0	5	0.01
3 4 5 9 10	5	0	3	2	0	0	0	0.01	0	0	0	2	0.0
1 3 4 5 8	5	0	2	0	0	1	0	0	0	0.01	0	1	0.0
2 3 4 5 6 9	6	0	4	1	0	0	0	0.0	0	0	0	1	0.0
3 4 5 6 7	5	1	4	1	0	0	0	0.0	0	0	0	1	0.0
1 2 6 10	4	0	1	415	38	92	797	1.2	0.85	0.87	1.12	545	1.1
1 5 6 8 10	5	0	1	7	2	2	30	0.02	0.04	0.02	0.04	11	0.02
3 4 6	3	0	1	0	0	0	1	0	0	0	0.0	0	0.0
3 4 7	3	0	1	1	0	0	0	0.0	0	0	0	1	0.0
4 7 9	3	0	0	4	0	0	0	0.01	0	0	0	4	0.01
1 2 5 7 8	5	0	2	1	0	0	0	0.0	0	0	0	1	0.0
1 2 5 7 9	5	0	1	4	0	0	0	0.01	0	0	0	4	0.01
1 3 4 5 6 8 10	7	0	3	2	1	4	4	0.01	0.02	0.04	0.01	7	0.01
4 6 7 8 9	5	1	3	2	0	0	0	0.01	0	0	0	2	0.0
6 10	2	0	0	266	40	114	639	0.77	0.89	1.08	0.9	420	0.85
2 3 4 6 8 9 10	7	0	4	7	1	4	6	0.02	0.02	0.04	0.01	12	0.02
1 2 3 4 10	5	0	3	0	0	0	1	0	0	0	0.0	0	0.0
1 2 8 9 10	5	0	3	0	0	2	0	0	0	0.02	0	2	0.0
2 4 8 10	4	0	0	2854	348	576	5517	8.27	7.79	5.43	7.76	3778	7.62
2 4 9 10	4	0	1	9	1	4	19	0.03	0.02	0.04	0.03	14	0.03
2 6 7 8 9	5	1	3	1	0	0	0	0.0	0	0	0	1	0.0
1 2 4 7 8 9 10	7	0	4	1	0	0	0	0.0	0	0	0	1	0.0
4 7 9 10	4	0	1	2	0	2	4	0.01	0	0.02	0.01	4	0.01
2 7 10	3	0	0	25	4	4	21	0.07	0.09	0.04	0.03	33	0.07
1 2 5 6 7 10	6	1	3	5	1	0	6	0.01	0.02	0	0.01	6	0.01
1 3	2	0	0	1	0	0	0	0.0	0	0	0	1	0.0
1 2 4 8 9 10	6	0	3	32	2	6	34	0.09	0.04	0.06	0.05	40	0.08
2 3 4 6 7 9 10	7	1	4	3	0	3	1	0.01	0	0.03	0.0	6	0.01
1 2 4 9 10	5	0	2	0	0	1	5	0	0	0.01	0.01	1	0.0
2 3 4 8	4	0	2	2	0	0	0	0.01	0	0	0	2	0.0
3 8 9 10	4	0	2	1	0	2	3	0.0	0	0.02	0.0	3	0.01
1 2 3 4 5 8 9 10	8	0	6	0	0	0	1	0	0	0	0.0	0	0.0
2 5 7 8 9 10	6	0	3	1	0	0	0	0.0	0	0	0	1	0.0
3 5 7 8 10	5	0	1	4	1	3	1	0.01	0.02	0.03	0.0	8	0.02
2 4 5 6 7 8	6	1	4	1	0	0	0	0.0	0	0	0	1	0.0
3 5 6 7 8 10	6	1	3	1	0	1	4	0.0	0	0.01	0.01	2	0.0
2 3 4 5 8 9 10	7	0	5	0	0	0	1	0	0	0	0.0	0	0.0
