pat	stressed	67	antis	c19	c18	cGA	cAGA	p19	p18	pGA	pAGA	cALL	pALL
3 4 5 6 9 10	6	0	4	2	0	0	2	0.01	0	0	0.0	2	0.0
1 4 5 8 10	5	0	1	69	8	16	82	0.2	0.18	0.15	0.12	93	0.19
1 2 3 6 9	5	0	2	2	0	0	0	0.01	0	0	0	2	0.0
1 2 3 6 8	5	0	2	2	0	0	0	0.01	0	0	0	2	0.0
1 3 8 9	4	0	1	1	0	0	0	0.0	0	0	0	1	0.0
1 2 4 7 9 10	6	0	2	2	0	4	1	0.01	0	0.04	0.0	6	0.01
6 9 10	3	0	1	14	2	8	41	0.04	0.04	0.08	0.06	24	0.05
1 4 6 9	4	0	0	10	0	0	0	0.03	0	0	0	10	0.02
5 8	2	0	0	1	0	0	0	0.0	0	0	0	1	0.0
5 9	2	0	0	6	0	1	1	0.02	0	0.01	0.0	7	0.01
5 6	2	0	1	0	0	0	1	0	0	0	0.0	0	0.0
5 7	2	0	0	1	0	0	0	0.0	0	0	0	1	0.0
6 8 10	3	0	0	111	17	92	483	0.32	0.38	0.87	0.68	220	0.44
8 10	2	0	0	17	1	9	0	0.05	0.02	0.08	0	27	0.05
1 2 3 4 5 8 10	7	0	4	1	0	0	0	0.0	0	0	0	1	0.0
1 3 5 7 10	5	0	0	22	4	7	5	0.06	0.09	0.07	0.01	33	0.07
1 6 7 10	4	1	1	95	11	32	221	0.28	0.25	0.3	0.31	138	0.28
1 2 3 4 5 6 7 8 9 10	10	1	9	0	0	0	1	0	0	0	0.0	0	0.0
2 4 8 9 10	5	0	2	154	25	30	122	0.45	0.56	0.28	0.17	209	0.42
3 5 6 7 9 10	6	1	3	0	0	1	0	0	0	0.01	0	1	0.0
1 2 6 8	4	0	1	1	0	0	0	0.0	0	0	0	1	0.0
1 2 6 9	4	0	1	7	0	0	0	0.02	0	0	0	7	0.01
2 3 4 6	4	0	2	1	0	0	1	0.0	0	0	0.0	1	0.0
2 3 4 7	4	0	2	2	0	0	0	0.01	0	0	0	2	0.0
1 2 6 7 9	5	1	2	3	0	0	0	0.01	0	0	0	3	0.01
1 2 6 7 8	5	1	3	2	0	0	1	0.01	0	0	0.0	2	0.0
3 4 6 7 8 9 10	7	1	5	2	0	1	0	0.01	0	0.01	0	3	0.01
1 2 6 7	4	1	2	1	0	0	0	0.0	0	0	0	1	0.0
2 4 6 7 8	5	1	2	1	0	1	0	0.0	0	0.01	0	2	0.0
2 4 6 7 9	5	1	1	6	0	0	0	0.02	0	0	0	6	0.01
2 8 9 10	4	0	2	4	1	0	3	0.01	0.02	0	0.0	5	0.01
6	1	0	0	1	0	5	0	0.0	0	0.05	0	6	0.01
2 3 6	3	0	1	0	0	0	5	0	0	0	0.01	0	0.0
1 2 5 6 9	5	0	2	1	0	0	0	0.0	0	0	0	1	0.0
1 2 5 6 8	5	0	2	1	0	0	0	0.0	0	0	0	1	0.0
1 3 5 6 10	5	0	1	79	8	28	105	0.23	0.18	0.26	0.15	115	0.23
1 10	2	0	0	3	0	4	0	0.01	0	0.04	0	7	0.01
1 2 5 6 7	5	1	3	2	0	0	0	0.01	0	0	0	2	0.0
4 6 8	3	0	0	15	0	1	0	0.04	0	0.01	0	16	0.03
1 3 8 10	4	0	0	46	4	8	17	0.13	0.09	0.08	0.02	58	0.12
3 5 9	3	0	0	27	0	0	1	0.08	0	0	0.0	27	0.05
3 5 8	3	0	0	8	0	2	0	0.02	0	0.02	0	10	0.02
3 5 7	3	0	0	1	0	0	0	0.0	0	0	0	1	0.0
2 7 8 10	4	0	1	4	0	4	2	0.01	0	0.04	0.0	8	0.02
1 4 7 10	4	0	0	52	7	15	71	0.15	0.16	0.14	0.1	74	0.15
9 10	2	0	1	0	0	1	1	0	0	0.01	0.0	1	0.0
1 3 9 10	4	0	1	1	0	1	1	0.0	0	0.01	0.0	2	0.0
1 2 4 6 9 10	6	0	2	23	7	9	45	0.07	0.16	0.08	0.06	39	0.08
2 4 7 9 10	5	0	1	0	0	1	7	0	0	0.01	0.01	1	0.0
1 2 4 6 8 10	6	0	1	115	30	67	541	0.33	0.67	0.63	0.76	212	0.43
1 4 5 6 8	5	0	2	2	0	0	0	0.01	0	0	0	2	0.0
4 5 7 8 9 10	6	0	4	0	0	0	1	0	0	0	0.0	0	0.0
1 2 3 4 5 6 7 10	8	1	6	0	0	0	1	0	0	0	0.0	0	0.0
5 6 10	3	0	1	13	1	6	43	0.04	0.02	0.06	0.06	20	0.04
2 4 5 7 8 9 10	7	0	4	1	0	0	0	0.0	0	0	0	1	0.0
4 6 7 8 9 10	6	1	4	1	1	0	6	0.0	0.02	0	0.01	2	0.0
2 6 7 9	4	1	1	10	0	1	0	0.03	0	0.01	0	11	0.02
1 4 6 10	4	0	0	1052	176	382	2723	3.05	3.94	3.6	3.83	1610	3.25
3 4 5 10	4	0	2	7	0	0	0	0.02	0	0	0	7	0.01
2 3 4 5 8 10	6	0	3	6	1	1	5	0.02	0.02	0.01	0.01	8	0.02
1 3 4 6 7 10	6	1	2	32	4	8	52	0.09	0.09	0.08	0.07	44	0.09
1	1	0	0	1	0	1	0	0.0	0	0.01	0	2	0.0
1 2 3 6 8 9 10	7	0	4	15	0	2	7	0.04	0	0.02	0.01	17	0.03
1 6 7	3	1	1	2	0	0	0	0.01	0	0	0	2	0.0
1 3 5 8	4	0	0	8	0	0	0	0.02	0	0	0	8	0.02
1 3 5 9	4	0	0	11	0	1	0	0.03	0	0.01	0	12	0.02
1 6 8	3	0	0	7	0	0	0	0.02	0	0	0	7	0.01
1 6 9	3	0	0	8	0	2	0	0.02	0	0.02	0	10	0.02
2 3 4 7 8 10	6	0	3	10	0	2	13	0.03	0	0.02	0.02	12	0.02
4 5 10	3	0	1	19	4	5	1	0.06	0.09	0.05	0.0	28	0.06
4 8 10	3	0	0	1582	116	262	2808	4.59	2.6	2.47	3.95	1960	3.95
2 4 5 7 9	5	0	1	0	1	0	0	0	0.02	0	0	1	0.0
1 4 6 8 9	5	0	1	2	0	0	0	0.01	0	0	0	2	0.0
1 2 3 4 5 6 7 8 10	9	1	7	0	0	1	1	0	0	0.01	0.0	1	0.0
1 7 8 10	4	0	1	1	0	0	3	0.0	0	0	0.0	1	0.0
1 3 4 8 10	5	0	1	140	20	25	189	0.41	0.45	0.24	0.27	185	0.37
4 5 6 7 8	5	1	4	1	0	0	0	0.0	0	0	0	1	0.0
1 2 3 4 5 6 8 10	8	0	5	2	0	0	2	0.01	0	0	0.0	2	0.0
4 9 10	3	0	1	1	1	1	7	0.0	0.02	0.01	0.01	3	0.01
2 3 5 10	4	0	1	20	5	6	2	0.06	0.11	0.06	0.0	31	0.06
1 2 3 4 5 6 9 10	8	0	6	1	0	0	0	0.0	0	0	0	1	0.0
3 4 10	3	0	1	6	0	2	6	0.02	0	0.02	0.01	8	0.02
1 3 5 8 9	5	0	1	1	0	0	0	0.0	0	0	0	1	0.0
