2 6 10	5592
2 4 8 10	5517
3 6 10	5050
2 4 6 10	4375
4 6 10	3377
2 6 8 10	3172
2 4 6 8 10	3043
4 8 10	2808
1 4 8 10	2783
1 4 6 10	2723
3 6 8 10	2595
4 6 8 10	2094
1 3 6 10	1954
1 4 6 8 10	1599
2 3 6 10	1118
1 3 6 8 10	1093
1 6 10	967
2 6 7 10	876
1 2 6 10	797
3 6 7 10	789
1 2 4 6 10	695
2 3 6 8 10	660
6 10	639
1 6 8 10	616
1 2 4 8 10	611
1 2 4 6 8 10	541
2 4 6 7 10	534
3 4 6 10	496
6 8 10	483
1 2 6 8 10	474
4 6 7 10	422
1 3 6 7 10	347
2 5 6 10	333
3 6 9 10	326
2 4 6 9 10	320
1 4 6 7 10	315
2 6 9 10	312
3 5 6 10	291
3 4 6 8 10	278
3 4 8 10	253
1 3 4 6 8 10	241
2 3 4 8 10	240
1 3 4 6 10	226
1 6 7 10	221
2 3 4 6 10	214
2 3 6 7 10	207
4 6 9 10	190
1 3 4 8 10	189
2 4 5 6 10	186
6 7 10	186
2 5 6 8 10	183
2 3 4 6 8 10	180
2 6 7 8 10	175
1 4 6 9 10	172
4 5 6 10	171
3 6 7 8 10	158
1 3 6 9 10	154
3 5 6 8 10	150
2 4 10	149
1 2 3 6 10	142
2 4 6 7 8 10	139
1 2 6 7 10	131
2 4 5 8 10	127
2 4 8 9 10	122
2 4 7 10	117
2 4 6 8 9 10	110
1 3 5 6 10	105
2 4 7 8 10	103
2 4 5 6 8 10	103
1 4 5 6 10	101
1 4 10	100
4 10	99
1 2 4 6 7 10	97
4 6 7 8 10	95
4 7 10	94
1 2 3 6 8 10	91
4 5 6 8 10	91
1 4 6 7 8 10	90
4 5 8 10	88
1 3 5 6 8 10	85
3 4 6 7 10	84
1 4 5 8 10	82
2 6 8 9 10	81
2 3 6 9 10	79
1 4 8 9 10	77
4 8 9 10	75
1 4 7 10	71
4 7 8 10	68
3 6 8 9 10	67
4 6 8 9 10	62
1 3 6 7 8 10	62
1 2 6 9 10	61
1 5 6 10	59
2 3 5 6 10	58
1 2 5 6 10	58
1 4 5 6 8 10	55
1 4 7 8 10	55
1 3 4 6 7 10	52
1 6 9 10	51
2 8 10	51
6 7 8 10	51
1 2 4 5 6 10	49
1 2 5 6 8 10	47
2 3 6 7 8 10	47
2 5 8 10	46
1 2 4 6 9 10	45
1 6 7 8 10	45
5 6 10	43
3 7 10	42
1 2 6 7 8 10	42
6 9 10	41
2 3 5 6 8 10	41
1 2 4 6 7 8 10	39
2 5 10	38
1 3 6 8 9 10	38
1 4 6 8 9 10	36
2 3 4 6 7 10	35
3 6 7 9 10	35
3 4 6 9 10	34
1 2 4 8 9 10	34
2 4 6 7 9 10	33
1 2 3 4 8 10	33
2 5 6 7 10	33
1 2 3 4 6 10	33
2 5 6 9 10	32
1 5 6 8 10	30
1 2 4 5 6 8 10	29
1 2 4 10	28
1 2 3 4 6 8 10	28
3 8 10	28
2 6 7 9 10	27
3 5 6 7 10	25
1 2 4 5 8 10	25
5 6 8 10	24
2 3 6 8 9 10	23
1 3 7 10	22
3 5 8 10	22
2 3 4 8 9 10	22
1 3 4 6 9 10	21
2 7 10	21
1 2 4 7 10	20
1 2 3 6 9 10	20
1 2 3 6 7 10	20
1 2 3 6 7 8 10	20
6 8 9 10	19
2 4 9 10	19
2 3 4 6 9 10	19
1 6 8 9 10	18
1 2 4 7 8 10	18
3 4 6 7 8 10	18
1 2 6 8 9 10	18
2 5 7 10	18
3 5 6 9 10	18
3 5 7 10	18
4 6 7 9 10	18
2 4 5 6 7 10	18
1 3 8 10	17
1 3 6 7 9 10	17
2 3 8 10	17
1 4 6 7 9 10	17
1 3 5 8 10	16
3 4 5 6 10	16
1 2 4 6 8 9 10	16
5 7 10	16
1 4 5 6 7 10	15
1 3 4 10	15
1 5 7 10	14
3 4 8 9 10	14
3 4 5 6 8 10	14
1 3 5 10	14
1 3 5 6 9 10	13
2 3 4 7 8 10	13
3 5 10	13
3 4 7 8 10	13
2 5 6 7 8 10	13
1 3 5 6 7 10	13
1 3 4 6 7 8 10	13
1 2 6 7 9 10	13
1 8 10	12
1 4 5 6 9 10	12
1 5 10	12
2 3 4 6 7 8 10	12
2 4 5 10	11
3 10	11
2 3 4 10	11
1 3 4 6 8 9 10	11
4 5 6 9 10	11
1 2 3 5 6 8 10	11
1 4 9 10	10
4 5 6 7 10	10
3 4 5 8 10	10
1 5 8 10	9
3 4 6 8 9 10	9
2 4 5 6 9 10	9
6 7 9 10	9
2 3 5 6 7 10	9
2 3 5 6 9 10	8
1 5 6 7 10	8
1 2 3 5 6 10	8
1 3 4 5 8 10	8
3 5 6 8 9 10	7
2 4 7 9 10	7
1 2 3 6 8 9 10	7
4 9 10	7
2 3 6 7 9 10	7
1 2 4 5 6 9 10	7
2 3 4 5 6 10	7
1 2 3 4 6 7 10	7
1 3 4 5 6 10	7
3 4 7 10	7
2 3 4 5 6 8 10	7
1 2 5 6 9 10	7
1 3 10	6
4 6 7 8 9 10	6
3 4 10	6
2 4 6 7 8 9 10	6
1 3 4 7 10	6
1 3 4 7 8 10	6
2 3 4 6 8 9 10	6
1 2 5 6 7 10	6
1 2 3 6 7 9 10	6
2 10	5
2 3 4 5 8 10	5
1 3 5 6 7 8 10	5
1 2 4 9 10	5
3 4 6 7 9 10	5
5 6 9 10	5
4 5 6 8 9 10	5
2 3 6	5
1 2 8 10	5
2 3 7 10	5
1 2 4 5 6 7 10	5
1 3 5 7 10	5
1 3 4 8 9 10	5
1 4 5 8 9 10	4
1 3 5 6 8 9 10	4
3 5 6 7 8 10	4
3 4 5 6 7 10	4
2 4 5 7 10	4
4 5 6 7 8 10	4
3 6	4
1 2 5 8 10	4
2 3 4 7 10	4
5 10	4
1 3 4 5 6 8 10	4
4 7 9 10	4
1 2 3 4 6 7 8 10	4
1 4 5 10	4
5 6 7 10	4
2 6	3
2 6 7 8 9 10	3
1 5 9	3
2 8 9 10	3
1 7 8 10	3
2 3 5 8 10	3
3 5 7 9 10	3
1 2 5 6 7 8 10	3
1 6 7 9 10	3
3 6 7 8 9 10	3
2 5 6 8 9 10	3
3 7 8 10	3
2 5 6 7 9 10	3
3 7 9 10	3
1 7 10	3
2 3 5 7 10	3
1 3 4 6 7 9 10	3
5 9 10	3
3 8 9 10	3
1 5 6 7 8 10	2
2 3 6 7 8 9 10	2
5 6 7 8 10	2
1 3 4 6 7 8 9 10	2
1 2 3 4 6 7 8 9 10	2
1 4 6 7 8 9 10	2
3 4 5 6 9 10	2
2 7 8 10	2
1 2 3 4 5 6 8 10	2
1 3 5 7 8 10	2
1 2 3 4 6 9 10	2
2 4 5 6 7 8 10	2
1 3 4 5 6 7 10	2
1 3 4 7 9 10	2
2 5 8 9 10	2
1 2 4 5 6 7 9 10	2
2 3 5 10	2
2 5 9 10	2
2 4 5 8 9 10	2
1 4 7 9 10	2
4 7 8 9 10	2
2 3 4 6 7 8 9 10	2
1 4 7 8 9 10	2
1 2 5 7 8 10	2
4 5 7 10	2
1 2 5 7 10	2
1 2 3 5 7 10	2
2 3 5 6 8 9 10	2
5 8 10	2
1 2 4 6 7 9 10	2
1 4 5 6 8 9 10	2
1 3 5 6 7 8 9 10	2
1 2 3 4 5 6 10	2
1 5 6 9 10	2
1 4 5 6 7 8 10	2
2 3 4 9 10	2
2 5 7 9	1
2 7 9 10	1
2 3 5 6 7 8	1
1 2 4 7 9 10	1
5 9	1
5 6	1
1 2 3 4 5 6 7 8 9 10	1
2 3 4 6	1
1 2 3 4 10	1
1 2 6 7 8	1
3 5 9	1
9 10	1
1 3 9 10	1
4 5 10	1
1 2 5 10	1
2 4 6 8	1
2 4 9	1
2 4 8	1
2 3 5 9 10	1
4 5 7 8 10	1
1 2 10	1
1 4 5 9 10	1
1 3 4 9 10	1
1 3 5 6 7 9 10	1
1 2 4 5 7 9 10	1
2 3 10	1
2 4 5 9	1
1 5 7 9 10	1
1 3 5 9 10	1
1 2 3 5 6 7 10	1
2 3 5 7 8 10	1
1 3 7 9 10	1
1 2 6	1
10	1
1 2 7 9 10	1
2 3 5 6 7 8 10	1
3 4 5 7 10	1
3 5 6 7 8 9	1
2 3 4 5 7 10	1
4 5 6	1
2 3 5 7 9 10	1
2 3 5 6 7 9 10	1
2 3 6 8	1
2 3 6 9	1
1 2 4 5 7 8 10	1
2 4 7 8 9 10	1
3 4 5 6 7 8 10	1
1 2 3 4 7 8 10	1
1 2 4 5 6 8 9 10	1
2 3 7 8 10	1
1 5 7 8 10	1
2 3 7 9 10	1
1 2 3 5 6 7 8 10	1
1 2 3 4 7 8 9 10	1
1 2 3 6	1
2 3 8 9 10	1
2 3 4 5 6 7 10	1
1 2 4 5 10	1
1 2 4 5 6 7 8 10	1
4 6	1
6 7 8 9 10	1
3 9 10	1
1 3 7 9	1
1 6	1
1 2 4 6 7 8 9 10	1
2 6 9	1
2 6 8	1
2 3 4 5 6 7 8 10	1
1 3 4 5 7 9 10	1
1 3 4 5 6 9 10	1
3 4 6	1
4 5 7 8 9 10	1
2 3 4 6 7 9 10	1
1 2 3 4 5 8 9 10	1
1 2 3 4 5 6 7 8 10	1
3 5 7 8 10	1
2 3 4 5 8 9 10	1
1 2 3 4 6 7 9 10	1
1 4 5 7 10	1
2 7 9	1
1 2 3 4 6 8 9 10	1
1 3 8 9 10	1
2 5 9	1
2 4 5 6 8 9 10	1
3 4 9 10	1
1 2 3 4 5 6 7 10	1
