FileName	Line	LNbr	EnjType
Jiménez_Cerdán,_Beatriz__407g~~Soneto_a_la_muerte_de_Isabel_de_Borbón__0900.xml	que anocheció la más lucida estrella	8	B-cc_crossclause
Jiménez_Cerdán,_Beatriz__407g~~Soneto_a_la_muerte_de_Isabel_de_Borbón__0900.xml	que atenta celebra las memorias	9	B-pb_noun_prep I-cc_crossclause
Galtero,_Pedro_Jerónimo__222g~~A_la_muerte_del_doctor_Juan_Pérez_Montalbán__0467.xml	de su aliento vital restó, devoto	11	B-pb_noun_prep I-pb_noun_prep
Galtero,_Pedro_Jerónimo__222g~~A_la_muerte_del_doctor_Juan_Pérez_Montalbán__0467.xml	y culto dedo de pastor imprima	12	B-ex_dobj_verb I-pb_noun_prep
Cueva_y_Silva,_Leonor_de_la__273g~~Soneto__0558.xml	a quien vence la hermosa jardinera	11	B-cc_crossclause
Cueva_y_Silva,_Leonor_de_la__273g~~Soneto__0558.xml	que por la vista alegra y enamora,	12	I-cc_crossclause
Sor_María_de_Santa_Isabel__435g~~Soneto__0941.xml	de una ausencia, si ya no sol ni ave	11	B-pb_adj_noun I-pb_noun_prep
Sor_María_de_Santa_Isabel__435g~~Soneto__0941.xml	racional, la belleza milagrosa	12	B-pb_adj_noun I-pb_adj_noun
